dx_measured,dy_measured,dx_odom,dy_odom,dz_odom,dyaw_odom
197,0,187,-4,0,0.003
193,1,179,-7,0,0.006
203,5,190,-10,0,0.002
200,5,188,-15,0,0.005
202,3,189,-20,0,0.003
201,0,188,-23,0,0.003
194,0,180,-25,0,0.004
192,4,178,-30,0,0.003
198,2,186,3,0,-0.001
193,-2,181,0,0,0.007
201,0,189,-3,0,-0.003
193,-2,181,-8,0,-0.002
204,2,191,-13,0,-0.007
201,0,188,-14,0,-0.002
202,1,189,-17,0,0.006
203,0,190,-18,0,-0.001
192,-1,180,-21,0,0.003
192,2,180,-24,0,-0.002
193,5,180,-29,0,00.003
195,7,180,-34,0,0.004
200,5,184,-38,0,-0.001
204,3,186,-43,0,0.006
201,1,184,-45,0,-0.002