dx2_measured, dy2_measured, dx1_measured, dx2_measured, dx_odom,dy_odom,dz_odom,dyaw_odom
-6,0,4,0,0,0,0,1.346
-10,1,11,2,0,-1,0,1.205
-2,0,1,0,0,-1,0,1.437
0,0,-1,-2,0,-1,0,1.460
0,1,0,-1,0,-1,0,1.445
1,-5,0,6,0,-1,0,1.341
-3,0,4,-1,-1,-1,0,1.415
-2,0,2,0,0,-1,0,1.464
-3,1,3,1,0,0,0,1.426
-4,1,4,1,0,-1,0,1.394
-10,2,10,1,0,0,0,1.243
-2,1,4,0,-1,-1,0,1.422
0,0,3,0,0,-1,0,1.477
-3,1,5,-1,1,0,0,1.386
-4,0,5,0,0,-1,0,1.377
-8,2,7,1,1,0,0,1.287
-8,2,10,-1,0,-1,0,1.211
0,1,3,0,1,-1,0,1.463
-2,1,5,0,0,-1,0,1.432
-2,0,7,-1,0,-1,0,1.358